timestamp,date,item,amount_inr,category,notes,source
2026-03-01T00:15:00+05:30,2026-02-28,Football,279,Football,,manual-chat
2026-03-01T00:15:00+05:30,2026-02-28,Football,255,Football,,manual-chat
2026-03-01T00:15:00+05:30,2026-02-28,Rapido,107,Travel,,manual-chat
2026-03-01T00:15:00+05:30,2026-02-28,11Labs subscription,1142.24,Work/Investment,for building voice agent for work,manual-chat
2026-03-01T00:15:00+05:30,2026-02-28,Travel,72,Travel,,manual-chat
2026-03-01T00:15:00+05:30,2026-02-28,Travel,184,Travel,,manual-chat
2026-03-01T03:43:00+05:30,2026-03-01,OpenAI Go plan,399,Subscription,,manual-chat
2026-03-01T15:19:00+05:30,2026-03-01,Netflix,199,Subscription,,manual-chat
2026-03-01T17:06:00+05:30,2026-03-01,Groceries,356,Food,,manual-chat
2026-03-02T11:40:00+05:30,2026-03-02,Rapido,105,Travel,,manual-chat
2026-03-02T11:40:00+05:30,2026-03-02,Metro,50,Travel,,manual-chat
2026-03-02T12:08:00+05:30,2026-03-02,Metro,50,Travel,,manual-chat
2026-03-02T18:42:00+05:30,2026-03-02,Metro,50,Travel,,manual-chat
2026-03-02T19:37:00+05:30,2026-03-02,Rapido,111,Travel,,manual-chat
2026-03-03T08:22:00+05:30,2026-03-03,Air fryer accessories (Amazon),237.4,Shopping,,manual-chat
2026-03-03T10:58:00+05:30,2026-03-03,Football,279,Football,,manual-chat
2026-03-03T12:18:00+05:30,2026-03-03,Zepto groceries,317,Food,,manual-chat
2026-03-03T18:45:00+05:30,2026-03-03,Air fryer accessories (Amazon),689.4,Shopping,,manual-chat
2026-03-03T20:50:00+05:30,2026-03-03,Rapido to turf,137,Travel,,manual-chat
2026-03-03T23:04:00+05:30,2026-03-03,Rapido from turf to home,154,Travel,,manual-chat
2026-03-04T15:11:00+05:30,2026-03-04,Airfryer,9517.2,Shopping,,manual-chat
2026-03-04T18:52:00+05:30,2026-03-04,Haircut,200,Personal care,,manual-chat
2026-03-04T19:17:00+05:30,2026-03-04,Auto from haircut to home,27.5,Travel,,manual-chat
2026-03-04T20:27:00+05:30,2026-03-04,Auto from home to Vega City Mall,119,Travel,,manual-chat
2026-03-04T20:57:00+05:30,2026-03-04,Shopping from Celio (shirt and pant),7898,Shopping,,manual-chat
2026-03-04T20:57:00+05:30,2026-03-04,Chicken tikka roll,150,Food,,manual-chat
2026-03-04T21:05:00+05:30,2026-03-04,Island Dreams Khadlaj (perfume),2704,Shopping,,manual-chat
2026-03-04T16:58:26+05:30,2026-03-04,Rapido,100,Travel,parsed from payment message,payment-message
2026-03-05T01:34:00+05:30,2026-03-05,Rent,19945,Bills,,manual-chat
2026-03-05T01:35:00+05:30,2026-03-05,Watch,2379,Shopping,,manual-chat
2026-03-05T11:13:00+05:30,2026-03-05,Netflix subscription,199,Subscription,,manual-chat
2026-03-05T11:24:00+05:30,2026-03-05,Shades,1156,Shopping,,manual-chat
2026-03-05T12:35:00+05:30,2026-03-05,Football,279,Football,,manual-chat
2026-03-05T12:38:00+05:30,2026-03-05,Groceries,733,Food,,manual-chat
2026-03-05T12:38:00+05:30,2026-03-05,Sunscreen,180,Shopping,,manual-chat
2026-03-05T15:02:00+05:30,2026-03-05,Body wash,653,Personal care,,manual-chat
2026-03-05T18:46:00+05:30,2026-03-05,Whisper Flow (AI) yearly subscription,3480.59,Subscription,,manual-chat
2026-03-06T11:44:00+05:30,2026-03-06,Rapido to work,98,Travel,,manual-chat
2026-03-06T13:30:00+05:30,2026-03-06,Jio data recharge,49,Bills,,manual-chat
2026-03-06T16:58:00+05:30,2026-03-06,Football,255,Football,,manual-chat
2026-03-06T19:45:00+05:30,2026-03-06,Rapido to football,74,Travel,,manual-chat
2026-03-06T21:58:00+05:30,2026-03-06,Rapido from football to house,138,Travel,,manual-chat
2026-03-07T15:48:00+05:30,2026-03-07,Groceries,350,Food,,manual-chat
2026-03-07T17:22:00+05:30,2026-03-07,Rapido to football turf,147,Travel,,manual-chat
2026-03-07T19:44:00+05:30,2026-03-07,Rapido to mall,66,Travel,,manual-chat
2026-03-07T19:56:00+05:30,2026-03-07,Phone tempered glass,550,Shopping,,manual-chat
2026-03-07T20:10:00+05:30,2026-03-07,Groceries,289,Food,,manual-chat
2026-03-07T20:46:00+05:30,2026-03-07,Rapido from mall to home,147,Travel,,manual-chat
2026-03-08T09:18:00+05:30,2026-03-08,Fancode F1 watch,99,Entertainment,,manual-chat
2026-03-08T15:35:00+05:30,2026-03-08,Groceries,259,Food,,manual-chat
2026-03-08T21:00:00+05:30,2026-03-08,Dinner with friends,319.5,Food,,manual-chat
2026-03-08T21:00:00+05:30,2026-03-08,One T-shirt,1008,Shopping,as requested: do not update shopping list,manual-chat
2026-03-08T21:00:00+05:30,2026-03-08,PVR screening with friends,592,Entertainment,,manual-chat
2026-03-09T13:33:00+05:30,2026-03-09,Football,439,Football,,manual-chat
2026-03-09T18:01:00+05:30,2026-03-09,Goa shopping (2 shorts + 2 shirts),3957,Shopping,,manual-chat
2026-03-09T18:07:00+05:30,2026-03-09,Shades replacement (Amazon Pay Later),998,Shopping,pay-later liability; to be paid post-Goa if possible else next month start,manual-chat
2026-03-10T13:59:00+05:30,2026-03-10,Milk,24,Food,,manual-chat
2026-03-11T09:10:00+05:30,2026-03-11,Groceries,559,Food,,manual-chat
2026-03-11T11:38:00+05:30,2026-03-11,Rapido to work,129,Travel,,manual-chat
2026-03-11T19:40:00+05:30,2026-03-11,Rapido to turf,67,Travel,,manual-chat
2026-03-11T22:50:00+05:30,2026-03-11,Rapido to home,183,Travel,,manual-chat
2026-03-11T21:00:16+05:30,2026-03-11,lunch,120,Food,,manual-chat
2026-03-11T21:00:20+05:30,2026-03-11,coffee,40,Shopping,,manual-chat
2026-03-11T21:00:20+05:30,2026-03-11,metro,50,Travel,,manual-chat
2026-03-12T12:05:00+05:30,2026-03-12,Smart watch,2499,Shopping,,manual-chat
2026-03-12T15:17:00+05:30,2026-03-12,Milk,24,Food,,manual-chat
2026-03-12T15:46:00+05:30,2026-03-12,Smartwatch Gold subscription (yearly),149,Subscription,yearly plan,manual-chat
2026-03-13T11:15+05:30,2026-03-13,Football,279,Football,,manual-chat
2026-03-13T14:12+05:30,2026-03-13,H&M; Cap,948,Shopping,,manual-chat
2026-03-13T20:58+05:30,2026-03-13,Rapido to turf,209,Travel,,manual-chat
2026-03-13T23:11+05:30,2026-03-13,Groceries,270,Food,Adjusted: excluded ball pump ₹209 from total ₹479,manual-chat
