month,category,assigned,rolled_over
2026-07,__income__,85660,0
2026-07,🏠 Rent,9500,0
2026-07,🚰 Water,500,0
2026-07,🔌 Electricity,1000,0
2026-07,🧑‍🍳 Cook,3000,0
2026-07,🚾 Bathroom Clean,1000,0
2026-07,🪑 Furniture Rent,626,0
2026-07,🍎 Groceries,3000,0
2026-07,🛵 Travel,3000,0
2026-07,⚽ Football,5000,0
2026-07,💇‍♂️ Haircut,300,0
2026-07,💃 Outings,6176,0
2026-07,🛍️ Shopping,37765,0
2026-07,🧺 Laundry,800,0
2026-07,🍲 Food Order,3022,0
2026-07,🎟️ Miscellaneous,8256,0
2026-07,💳 Bills,0,0
2026-07,💹 Investments,0,0
