month,category,assigned,rolled_over
2026-07,__income__,95000,0
2026-07,🏠 Rent,32000,0
2026-07,🚰 Water,800,0
2026-07,🔌 Electricity,2200,0
2026-07,🧑‍🍳 Cook,6000,0
2026-07,🚾 Bathroom Clean,1000,0
2026-07,🪑 Furniture Rent,1200,0
2026-07,🧺 Laundry,400,0
2026-07,💳 Bills,4200,0
2026-07,🍎 Groceries,6500,0
2026-07,🍲 Food Order,3500,0
2026-07,🛵 Travel,4000,0
2026-07,⚽ Football,2500,0
2026-07,💃 Outings,4000,0
2026-07,🛍️ Shopping,3500,0
2026-07,💇‍♂️ Haircut,300,0
2026-07,🎟️ Miscellaneous,2500,0
2026-07,💹 Investments,18000,0
2026-07,__credit_card__,0,0
2026-08,__income__,95000,0
2026-08,🏠 Rent,32000,0
2026-08,🚰 Water,800,0
2026-08,🔌 Electricity,2200,0
2026-08,🧑‍🍳 Cook,6000,0
2026-08,🚾 Bathroom Clean,1000,0
2026-08,🪑 Furniture Rent,1200,0
2026-08,🧺 Laundry,400,0
2026-08,💳 Bills,4200,0
2026-08,🍎 Groceries,6500,0
2026-08,🍲 Food Order,3500,0
2026-08,🛵 Travel,4000,0
2026-08,⚽ Football,2500,0
2026-08,💃 Outings,4000,0
2026-08,🛍️ Shopping,3500,0
2026-08,💇‍♂️ Haircut,300,0
2026-08,🎟️ Miscellaneous,2500,0
2026-08,💹 Investments,18000,0
2026-08,__credit_card__,0,0
